net,length_um
decoded_imm_j\[8\],122.105
_06787_,122.02
clknet_leaf_17_clk,121.975
_05416_,121.96
_06868_,121.85
_06957_,121.74
_06945_,121.61
_04569_,121.58
_02653_,121.52
alu_out_q\[10\],121.48
_03203_,121.24
_01880_,121.05
_03920_,121
_06972_,120.72
net154,120.62
_06594_,120.58
_04941_,120.405
_05207_,120.18
net60,120.18
_03530_,119.72
_03845_,119.685
_04427_,119.63
_06311_,119.28
_06989_,119.18
_07216_,118.94
irq_pending\[15\],118.64
alu_out_q\[24\],118.62
_07236_,118.6
_06995_,118.22
_06592_,118.2
_06531_,118.13
_04389_,117.94
_06224_,117.94
_03228_,117.76
_05848_,117.57
_05145_,117.54
_06955_,117.54
net33,117.43
_06208_,117.36
clknet_leaf_75_clk,117.32
clknet_leaf_105_clk,116.955
_06714_,116.715
_05851_,116.71
reg_pc\[16\],116.64
_06953_,116.32
mem_rdata_q\[2\],116.26
_07277_,116.24
_05110_,116.14
clknet_leaf_73_clk,116.08
_05263_,116.02
_05646_,115.85
_02050_,115.72
_05229_,115.5
reg_pc\[11\],115.185
_04747_,114.95
net61,114.895
_00075_,114.635
reg_next_pc\[21\],114.63
clknet_leaf_12_clk,114.34
_04043_,114.31
reg_pc\[23\],114.06
clknet_leaf_140_clk,113.92
alu_out\[20\],113.865
_03849_,113.81
_04923_,113.81
_04915_,113.64
reg_next_pc\[14\],113.63
_06976_,113.58
_05973_,113.53
reg_next_pc\[11\],113.355
_03874_,113.12
_06201_,113.12
_06978_,113.08
_05399_,112.98
_07003_,112.8
clknet_leaf_189_clk,112.65
_04847_,112.39
_01186_,112.225
_06546_,112.13
clknet_leaf_43_clk,111.805
_05843_,111.6
_02265_,111.42
alu_out\[22\],111.38
_03255_,111.19
_08121_,111.15
clknet_leaf_163_clk,111.06
net55,110.99
_06970_,110.98
_04397_,110.88
_06459_,110.82
clknet_leaf_166_clk,110.64
_07282_,110.55
_06131_,110.42
_04429_,110.31
clknet_leaf_151_clk,110.04
_06550_,109.76
_07946_,109.7
_03409_,109.595
clknet_leaf_20_clk,109.52
_04780_,109.5
