net,length_um
_20083_,252.77
_22461_,252.72
_11044_,252.4
_19468_,252.24
net63,252.08
_21643_,252.02
_11304_,251.95
_13467_,251.94
_13505_,251.48
clknet_6_42_0_clk,251.4
_16772_,250.85
_15915_,250.55
_10093_,250.08
_13476_,250.06
_12710_,250.04
_09308_,250.02
_11683_,249.86
_09841_,249.5
_20079_,249.455
_10767_,249.27
_13517_,249.23
_09181_,249.12
_09728_,248.84
_22493_,248.78
_19743_,248.75
_10902_,248.55
_10129_,248.5
_11279_,248.42
_16730_,248.4
_15812_,248.35
_12691_,248.28
clknet_6_4_0_clk,248.08
_11038_,247.87
_22301_,247.5
_08805_,247.26
_12714_,247.12
_10842_,247.04
_23837_,246.96
_11713_,246.86
_22536_,246.82
_21872_,245.94
_22501_,245.9
_19420_,245.64
_09718_,245.5
_19840_,245.47
_08319_,245.35
_11220_,245.18
_16780_,245.06
_11357_,244.91
_16732_,244.76
_15296_,244.74
_13501_,244.71
_08861_,244.7
_11358_,244.28
_23446_,244.275
_15206_,244.2
_19753_,244.1
_21430_,243.965
_20081_,243.835
_10359_,243.79
_08802_,243.73
_09954_,243.37
_15175_,243.24
_11551_,242.63
_21893_,242.52
_10467_,242.37
_19107_,242.3
_14131_,242.2
_19751_,242.16
_19431_,241.88
_19412_,241.46
_11171_,241.19
_20077_,241.18
_10804_,240.92
_18399_,240.54
_10003_,240.49
_10872_,240.37
_10817_,240.31
_12822_,240.3
_20073_,240.26
_21418_,239.44
_21891_,239.4
_12776_,239.34
_13513_,239.18
_11004_,239.15
_09849_,239.08
_21870_,238.8
_21807_,238.52
_10975_,238.35
_14369_,238.14
