net,length_um
_0128_,2.62
_0167_,2.62
_0210_,2.62
_0507_,2.62
_0047_,2.585
_0083_,2.585
_0102_,2.585
_0014_,2.545
_0032_,2.545
_0064_,2.545
_0006_,2.52
_0007_,2.52
_0008_,2.52
_0010_,2.52
_0012_,2.52
_0263_,2.52
_0707_,2.52
_0430_,2.505
_0185_,2.5
_0269_,2.5
_0711_,2.5
_0005_,2.485
_0066_,2.485
_0081_,2.485
_0104_,2.485
_0141_,2.48
_0050_,2.42
_0063_,2.42
_0075_,2.42
_0080_,2.42
_0145_,2.38
_0048_,2.325
_0051_,2.325
_0101_,2.325
_0162_,2.3
_0175_,2.3
_0292_,2.3
_0439_,2.3
_0678_,2.3
_0690_,2.3
_0214_,2.18
_0025_,2.16
_0146_,2.16
_0179_,2.16
_0193_,2.16
_0380_,2.16
_0397_,2.16
_0505_,2.16
_0520_,2.16
_0542_,2.16
_0685_,2.16
_0019_,2.125
_0028_,2.125
_0097_,2.115
_0013_,2.085
_0085_,2.085
_0088_,2.085
_0087_,2.08
_0090_,2.08
_0152_,2.06
_0517_,2.06
_0664_,2.06
_0713_,2.06
_0715_,2.06
_0717_,2.06
_0199_,2.04
_0621_,2.04
_0701_,2.04
_0710_,2.04
_0714_,2.04
_0000_,2.025
_0021_,2.025
_0023_,2.025
_0024_,2.025
_0078_,2.025
_0079_,2.025
_0651_,1.94
_0666_,1.94
_0127_,1.915
_0016_,1.865
_0018_,1.865
_0020_,1.865
_0046_,1.865
_0082_,1.865
_0089_,1.865
_0098_,1.865
_0115_,1.865
_0221_,1.84
_0684_,1.84
net12,1.84
_0681_,1.8
_0153_,1.72
_0731_,1.72
_0416_,1.7
_0618_,1.7
_0084_,1.685
_0590_,1.6
_0612_,1.6
_0697_,1.6
_0727_,1.595
_0658_,1.56
_0186_,1.48
_0675_,1.48
_0696_,1.48
_0623_,1.46
_0652_,1.46
_0672_,1.46
_0761_,1.46
_0111_,1.405
_0132_,1.38
_0177_,1.38
_0387_,1.38
_0426_,1.38
_0564_,1.38
_0706_,1.38
_0594_,1.265
_0552_,1.26
_0632_,1.22
_0638_,1.22
_0743_,1.22
_0440_,1.14
_0673_,1.14
_0172_,1.1
_0148_,1.02
_0758_,1.02
_0522_,0.92
_0572_,0.92
_0357_,0.46
_0486_,0.46
_0718_,0.46
